seq,contents,reply_contents
11666,성경을 음성으로 재생하고 있는데 한장 들으면 다음 장으로 넘어가지 않고 끊어져요 연속재생으로 설정되어 있는데도요,"안녕하세요, GOODTV 바이블 애플입니다.바이블 애플을 이용해주셔서 감사드립니다.성도님, 혹시 매번 모든 장이 한장씩만 재생 되고 끊어지시나요?아니면 간혹 몇장 재생되다가 끊어지기도 하실까요? 번역본, 권, 장 위치를 알려주시면 혹시 음원에 문제가 있는 것은 아닌지 꼼꼼히 살펴보도록 하겠습니다.내부 직원들이 확인했을 때는 성경 음원 연속 재생 시 오류가 없었으나해당 오류를 면밀히 살펴 수정할 수 있도록 하겠습니다. 항상 주님 안에서 평안하세요, 감사합니다."
11665,찬송가 노래 없이 반주만 나오는것도 추가기능 넣어주시면 안될까요?,"안녕하세요, GOODTV 바이블 애플입니다.바이블 애플을 이용해주셔서 감사드립니다.현재 찬송가 반주 음원의 경우 저희가 임의로 노래를 제거할 수는 없는 부분이어서새롭게 저작권 계약 후 탑재가 필요한 사항으로 생각됩니다.말씀해주신 의견 참고하여 추후 기능 개선 기획 시 내부 논의할 수 있도록 하겠습니다,실제 탑재가 결정되기까지는 저작권자와의 논의 및 계약도 필요한 부분이라다소 시간이 소요될 수 있는 점 양해부탁드립니다.항상 주님 안에서 평안하세요, 감사합니다."
11664,[바이블 애플] 개역개정 역대상 28장  20. ○또 그의 아들 솔로몬에게 이르되 너는 강하고 담대하게 이 일을 행하라 두려워하지 말며 놀라지 말라 네가 여호와의 성전 공사의 모든 일을 마치기까지 여호와 하나님 나의 하나님이 너와 함께 계시사 네게서 떠나지 아니하시고 너를 버리지 아니하시리라  “네가 여호와의 성전 공사의”를 음원에서는 “네가 하나님의 성전 공사의”로 다르게 읽습니다.,"안녕하세요 , GOODTV 바이블 애플입니다.바이블 애플을 이용해주셔서 감사드립니다. 해당 제보 구절을 확인하였습니다.접수된 구절은 잘 관리하여 추후 음원 교체 시 면밀히 확인하고 탑재할 수 있도록참조하겠습니다.항상 소중한 시간을 들여 제보해주시는 성도님께 큰 감사의 말씀을 드립니다. 다소 시간이 소요되겠지만, 보다 음원과 본문의 오차를 줄일 수 있는 방법을 고심할 수 있도록 하겠습니다.항상 주님 안에서 평안하세요, 감사합니다."
11662,파일전송이 안됩니다,안녕하세요. 바이블 애플입니다.바이블 애플을 이용해주셔서 감사합니다.앱을 업데이트 한 이후에도 동일하게 파일을 못찾으신다고 나오시는 걸까요?앱을 업데이트 한 이후에도 나오시지 않으신다면 해당하는 장에 절을 재생하셔서 실제 파일이 있는지 확인해주시길 부탁드립니다.모든 파일이 존재 하는데 공유가 안되신다면 다시 문의 부탁드리겠습니다.감사합니다.주님 안에서 평안하세요.
11661,"수고많으십니다. 갑자기 찬송가 검색이 되지 않네요. 예를들면 458장이나 204장을 검색하면 이전에 사용했던 장만 계속 나옵니다. ","안녕하세요, GOODTV 바이블 애플입니다.바이블 애플을 이용해주셔서 감사드립니다.성도님, 현재 이용중이신 앱이 최신 상태가 아닌 것으로 확인됩니다. 구글 플레이 스토어 (앱 설치하는 곳) > 바이블 애플 검색 > 업데이트 버튼을 클릭해서 최신 버전으로 업데이트 하신 후같은 문제가 발생했을 때 다시 고객 문의로 남겨주시면 감사하겠습니다. 항상 주님 안에서 평안하세요, 감사합니다."
11659,녹음 파일 전송 오류 수정 중 인지 궁금 합니다.,"안녕하세요, GOODTV 바이블 애플입니다.바이블 애플을 이용해주셔서 감사드립니다.현재 낭독 녹음 파일 공유 오류를 최우선으로 점검하고 있습니다.기기별로 증상이 다르게 나타나 반복적인 테스트와 보완 작업을 진행 중이며,앱 업데이트는 반드시 스토어 심사를 거쳐야 하다 보니 예상보다 시간이 지연되고 있습니다.제한된 인력 속에서도 문제 해결을 위해 최선을 다하고 있음을 양해 부탁드립니다. 낭독 녹음은 앱의 핵심 서비스인 만큼, 성도님께서 원활히 이용하실 수 있도록 최대한 신속히 개선해 나가겠습니다.항상 주님 안에서 평안하세요, 감사합니다."
11658,1.휴대전화 앱에서늘 정상 작동합니다 단체방 앱에서는 잠깐 열렸다 금방 닫힙니다 2.단체방에서 먼저 읽은분이 올린 성경본문을 통해 열었습니다,안녕하세요. 바이블 애플입니다.바이블 애플을 이용해주셔서 감사합니다.해당 문제 확인하였습니다.문제 수정하여 내일이나 모레 중으로 업데이트 예정에 있으니 불편하시더라도 조금만 기다려주시면 감사하겠습니다.오늘도 주님 안에서 평안하세요.
11657,안녕하세요 답변 감사드립니다^^  변경을 원하는 선교사 이름은 김정진인데 김정민으로 변경 부탁드려요,"안녕하세요, GOODTV 바이블 애플입니다바이블 애플을 이용해주셔서 감사드립니다.성함 변경 완료했습니다.선교사 카드 확인하시고 이상이 있으신 경우다시 한번 고객문의로 연락주시면 빠르게 확인하고 도와드리겠습니다,귀한 참여에 감사드리며,오늘 하루도 하나님 안에서 풍성한 은혜 누리시기를 소망합니다. 감사합니다."
11656,안녕하세요. 성경 듣기를 할 때 분명 음원이 다 받아져있는데 재생이 안되서 음원 삭제후 다시 다운받으고 틀면 재생이 되요.. 문제는 모든 장을 전부 하나하나 삭제 후 재다운로드 해야 재생이 되면...   그리고 업데이트전인 다번역성경찬송 어플에서도 어제까지 전장 듣기로 쭉 들어왔는데 갑자기 예를 들어 창세기 1장 듣다가 2장으로 가야되는데 쭉 넘어가다가 어느 아모스나 이런데서 멈춰서 틀어지기도 하고 합니다... 음원관리로 가보면 틀어지는 구간은 1.5kB 정도인데. 나머지 음원은 용량이 0.0KB로 나오는게 음원이 없어서 그런듯 합니다..,"안녕하세요, GOODTV 바이블애플입니다.바이블 애플을 이용해주셔서 감사드립니다.성도님, 현재 남겨주신 글만으로는 문제를 정확히 파악할 수 없어문제가 있다는 ""음원 관리"" 페이지를 캡쳐 후 첨부해서 재문의를 부탁드립니다.재생 되는 구간이 1.5KB고 남은 음원은 0.0KB로 노출되는 부분을 첨부해주시면저희가 빠르게 문제를 파악하여 도움을 드릴 수 있도록 최선을 다하겠습니다.항상 주님 안에서 평안하세요, 감사합니다."
11655,후원해지한 적이 없는데 후원해지 문자가 왔습니다.,"안녕하세요, GOODTV 바이블 애플입니다.바이블 애플을 이용해주셔서 감사드립니다.성도님, 문의 주신 내용 유관 부서에 전달하였으며전화로 안내드린 것으로 확인됩니다. 이용 중 어려움이 있으시거나 궁금한 것이 있으신 경우 언제든 1:1 고객 문의로 남겨주시면최대한 빠르게 도와드리겠습니다.오늘 하루도 하나님 안에서 평안하시기를 기도하겠습니다. 감사합니다."
11654,시편 76편 1절에서 '크시도다'를 '알려지셨도다'로 변경해 주세요!  아울러 아직도 개역판 성경문구가 그대로 있는 곳이 있는 듯 하오니 개정해  주시면 좋겠습니다!,"안녕하세요, GOODTV 바이블 애플입니다.바이블 애플을 이용해주셔서 감사드립니다.현재 이용하고 계신 성경 번역본이 개역개정 맞으실까요?바이블 애플에서 제공하고 있는 성경 본문은 모두 저작권 계약을 통해 원문을 탑재하고 있습니다.개역개정은 대한성서공회로부터 제공받아 탑재하였습니다.말씀해주신 시편 76편 1절을 확인해본 결과,""크시도다""가 맞는 것으로 확인됩니다.원저작자인 대한성서공회에서 수정된 원문을 제공하면 변경이 가능하지만, 저희가 임의로 수정할 수 없음을 양해부탁드립니다. 항상 주님 안에서 평안하세요, 감사합니다."
11653,제가 성경 통독 25회차를 완료하고 무엇을 잘못 눌렀는데 25회차 통독 완료기록이 없어져 버렸는데 복원이 가능할까요?,안녕하세요. 바이블 애플입니다.바이블 애플을 이용해주셔서 감사합니다.확인해본 결과 통독을 삭제하신 것으로 확인됩니다.통독 삭제 시 통독 기록을 삭제하기 때문에 복구하는 것은 힘들 것 같습니다.통독 완독증서를 가지고 싶으신 것이라면 비슷한 기간의 통독을 새로 만드시고 저희가 완독처리를 해드릴 수 있습니다.필요하시면 다시 문의 부탁드립니다.속상하신 마음에 도움이 되어드리지 못한 점 죄송합니다.오늘도 주님 안에서 평안하세요.
11652,음성파일 변환못함.,안녕하세요. 바이블 애플입니다.바이블 애플을 이용해주셔서 감사합니다.말씀하여주신 현상 수정하여 스토어에 최신버전을 업데이트 했습니다.스토어에서 최신버전을 다운 받으신다면 문제없이 이용 하실 수 있습니다.감사합니다.주님 안에서 평안하세요.
11651,성경통독할때 요한복음 2장 12절이 다 보이지 않고 끊겨 보여요,"안녕하세요, GOODTV 바이블 애플입니다.바이블 애플을 이용해주셔서 감사드립니다.현재 내부에서 말씀해주신 요한복음 2장 12절을 확인하였을 때는구절이 정상 노출되어, 말씀 누락이나 전체 오류가 아닌특정 기기에서만 발생하는 절잘림 문제로 보입니다.먼저, 글자 크기를 줄여주시고 (16-18pt) 성경 앱을 완전히 종료 하신 뒤 다시 실행해보시겠어요?뒤로가기 버튼을 눌러 ""바이블 애플을 종료하시겠습니까?"" 메세지가 나올 때 [예]를 클릭하셔서 완전히 종료한 뒤다시 실행하셔서 말씀 구절을 확인하시고,잘린 구절이 정상 노출 될 때 다시 글자 크기를 원래 보시던 대로 키워주시면 됩니다. 해당 문제는1. 보고 계신 성경 본문, 요한복음 2장에 북마크 혹은 노트를 작성하였을 때북마크 및 노트의 아이콘이 성경 본문에 표시되면서 종종 화면이 밀리는 현상이 있습니다.해당 부분은 내부 개발진들이 꾸준히 모니터링하며 수정 중에 있습니다.2. 1번과 더불어 글자 크기가 크게 설정 되어 있을 때 화면에 성경 본문이 그려지다가 글자가 크면 밀려날 수 있습니다.이 역시도 수시로 모니터링하면서 수정중에 있습니다. 안내드린대로 한번 실행해보시고, 어렵거나 더 도움이 필요하신 경우 1:1 고객문의로 남겨주시면 최대한 빠르게 안내드리겠습니다.항상 주님 안에서 평안하세요, 감사합니다."
